id,sn,epoch,mac_first_half
d4efed6773ef6a69e11578ed1ad3acaf,1080,1619579927.702199,8a:05:8e
d4efed6773ef6a69e11578ed1ad3acaf,1081,1619579927.723806,8a:05:8e
d4efed6773ef6a69e11578ed1ad3acaf,1084,1619579927.792379,8a:05:8e
d4efed6773ef6a69e11578ed1ad3acaf,1085,1619579927.814481,8a:05:8e
ea0e4a4828bc248b0c9968f18b79d319,3379,1619579929.17161,1e:77:18
36eed2da7bb54336f91575358a7a89d1,183,1619579929.675777,a6:96:28
36eed2da7bb54336f91575358a7a89d1,184,1619579929.734592,a6:96:28
36eed2da7bb54336f91575358a7a89d1,193,1619579930.238667,a6:96:28
36eed2da7bb54336f91575358a7a89d1,194,1619579930.260456,a6:96:28
36eed2da7bb54336f91575358a7a89d1,196,1619579930.318725,a6:96:28
81332a18da6fbfb58d99a4d65ebd66d9,1678,1619579931.629967,02:15:ee
81332a18da6fbfb58d99a4d65ebd66d9,1679,1619579931.650929,02:15:ee
81332a18da6fbfb58d99a4d65ebd66d9,1680,1619579931.671025,02:15:ee
81332a18da6fbfb58d99a4d65ebd66d9,1682,1619579931.712207,02:15:ee
ae9476895b031bc6193cb8d75130d47a,229,1619579931.957574,94:f6:d6
6bbb8775abb1179ce34251f88b434a04,2236,1619579931.990324,a5:87:cf
5b3a5ece1a6c5c50477bf9f46438e9ce,1211,1619579932.180116,6a:59:a3
5b3a5ece1a6c5c50477bf9f46438e9ce,1213,1619579932.215989,6a:59:a3
5b3a5ece1a6c5c50477bf9f46438e9ce,1215,1619579932.266334,6a:59:a3
c0e94225b358f08b3e23fc7c36ddd2da,2443,1619579932.689592,3a:a0:11
536109645f7bb04691bbfa731ebed2d4,780,1619579935.279279,1e:d1:71
8088fe20a1cec6832635430c6ae00f54,942,1619579935.91628,a2:b3:5c
8088fe20a1cec6832635430c6ae00f54,943,1619579935.941879,a2:b3:5c
8088fe20a1cec6832635430c6ae00f54,946,1619579936.00639,a2:b3:5c
04a063ea7b91cfab2ca78322054abc16,822,1619579936.01391,0a:65:b5
8088fe20a1cec6832635430c6ae00f54,947,1619579936.026684,a2:b3:5c
9205a31bba7e187641e1e046557dfa57,1104,1619579936.319352,2e:40:8d
9205a31bba7e187641e1e046557dfa57,1108,1619579936.356482,2e:40:8d
9205a31bba7e187641e1e046557dfa57,1110,1619579936.376453,2e:40:8d
9205a31bba7e187641e1e046557dfa57,1112,1619579936.401211,2e:40:8d
9205a31bba7e187641e1e046557dfa57,1114,1619579936.422092,2e:40:8d
8a5f703eb8debdcc55dee23cd28e2b36,3098,1619579936.505276,42:32:cd
cc28c098c09859a64d91f9bc12e763f1,979,1619579936.662707,aa:27:5b
cc28c098c09859a64d91f9bc12e763f1,980,1619579936.68528,aa:27:5b
c68abf8dbe0e5d3fa7f24b878ab02434,300,1619579937.168909,f2:53:c1
c68abf8dbe0e5d3fa7f24b878ab02434,301,1619579937.198572,f2:53:c1
93e7b6093f74cd5ae65bf38156a2ff88,3037,1619579939.068375,ae:0e:12
ae560d26bba87b9e8e5f3091f9aa89bc,2539,1619579939.071921,ba:61:58
ae560d26bba87b9e8e5f3091f9aa89bc,2540,1619579939.094482,ba:61:58
ae560d26bba87b9e8e5f3091f9aa89bc,2542,1619579939.14405,ba:61:58
ae560d26bba87b9e8e5f3091f9aa89bc,2543,1619579939.163686,ba:61:58
a52e32690dc18f1f7c684b39b86b5d47,934,1619579942.20624,d6:cf:61
