id,sn,epoch,mac_first_half
c1623d8645e2cc1d77e0f6b8057b3733,2868,1619573435.711184,ca:92:45
c1623d8645e2cc1d77e0f6b8057b3733,2869,1619573435.721739,ca:92:45
ed8c3ec6721191fa0774e99d39aec898,573,1619573435.749135,0a:50:0d
0d3202101e28e678b8040f720b6c0891,623,1619573437.023811,8a:74:fd
d34daaf664793b7e3bcd9333be54e0a5,2477,1619573438.032913,aa:6a:d8
70dd03aa183802ed6efd5436b17c4f07,1768,1619573438.051297,5e:78:fa
24c11fe3b06cd56326a25ecc7f32a466,2067,1619573438.265271,76:3f:f0
24c11fe3b06cd56326a25ecc7f32a466,2068,1619573438.267551,76:3f:f0
b0d367cfee5f345fe57de4b4e650eb37,2388,1619573438.635376,c6:e0:dc
2e3659930514d467716990ebf475226c,192,1619573439.236287,1e:fc:60
2e3659930514d467716990ebf475226c,196,1619573439.276535,1e:fc:60
2e3659930514d467716990ebf475226c,198,1619573439.31948,1e:fc:60
077641e2886a962889579675aa344f2e,2731,1619573439.445151,46:62:99
0fe8ce1ef1e091d250ff37f2ef519f6d,1836,1619573439.459478,7a:78:31
c1623d8645e2cc1d77e0f6b8057b3733,2925,1619573439.690784,ca:92:45
c1623d8645e2cc1d77e0f6b8057b3733,2926,1619573439.692313,ca:92:45
17c4ba757a3efc514845e486bf120196,2697,1619573439.754336,6c:71:d9
c3409caa92e4f18e3371caf11e08f002,2172,1619573439.771005,86:03:79
66b5207434cc42000e74e0961ef8a23b,2101,1619573439.775386,7a:5a:cc
c1623d8645e2cc1d77e0f6b8057b3733,2931,1619573439.77753,ca:92:45
c3409caa92e4f18e3371caf11e08f002,2173,1619573439.79046,86:03:79
66b5207434cc42000e74e0961ef8a23b,2102,1619573439.796056,7a:5a:cc
95307a8950f29ffb16f6f608bba170f5,652,1619573439.822105,3c:22:fb
95307a8950f29ffb16f6f608bba170f5,653,1619573439.824889,3c:22:fb
95307a8950f29ffb16f6f608bba170f5,654,1619573439.834979,3c:22:fb
95307a8950f29ffb16f6f608bba170f5,655,1619573439.836184,3c:22:fb
17c4ba757a3efc514845e486bf120196,2699,1619573439.844761,6c:71:d9
17c4ba757a3efc514845e486bf120196,2700,1619573439.894073,6c:71:d9
3afd2ed595a11d47c59a45884b2e63bf,677,1619573440.075066,3c:22:fb
3afd2ed595a11d47c59a45884b2e63bf,678,1619573440.080514,3c:22:fb
95307a8950f29ffb16f6f608bba170f5,667,1619573440.158554,3c:22:fb
95307a8950f29ffb16f6f608bba170f5,668,1619573440.15994,3c:22:fb
95307a8950f29ffb16f6f608bba170f5,669,1619573440.159954,3c:22:fb
95307a8950f29ffb16f6f608bba170f5,671,1619573440.170082,3c:22:fb
95307a8950f29ffb16f6f608bba170f5,672,1619573440.170096,3c:22:fb
95307a8950f29ffb16f6f608bba170f5,673,1619573440.184531,3c:22:fb
95307a8950f29ffb16f6f608bba170f5,674,1619573440.18881,3c:22:fb
4cb5e4daf5d1805930c3c18d1b547f5d,1944,1619573441.078429,c6:65:cd
d9bd319f2776d95887529099a63046f7,4084,1619573441.253027,9a:cc:1a
23661269f6583bbd2bf041fa3431ac67,2504,1619573441.265225,3c:22:fb
7272f1a7c1531d88a9e41f8b94c810e1,3683,1619573441.673186,4e:dc:e2
7272f1a7c1531d88a9e41f8b94c810e1,3684,1619573441.694752,4e:dc:e2
35a8f123864549e3b2b79504263f29a1,3395,1619573441.774435,92:34:de
35a8f123864549e3b2b79504263f29a1,3397,1619573441.801734,92:34:de
c1623d8645e2cc1d77e0f6b8057b3733,2976,1619573443.030089,ca:92:45
