id,sn,epoch,mac_first_half
6f0355a4904463fc01a20d0bf1f2218f,1305,1619573434.254177,36:33:ad
42f4dd62cebf0d1fc23f93221a1fbd29,2297,1619573434.489416,9a:61:8c
42f4dd62cebf0d1fc23f93221a1fbd29,2298,1619573434.499784,9a:61:8c
42f4dd62cebf0d1fc23f93221a1fbd29,2302,1619573434.552041,9a:61:8c
b67809a55bb7f2eab70e4a6749e822d7,687,1619573434.570281,9a:a3:6a
b67809a55bb7f2eab70e4a6749e822d7,688,1619573434.580109,9a:a3:6a
b67809a55bb7f2eab70e4a6749e822d7,689,1619573434.609703,9a:a3:6a
42f4dd62cebf0d1fc23f93221a1fbd29,2311,1619573434.668682,9a:61:8c
8683e4952f9b6887adc43483ee793237,3770,1619573435.192656,c2:00:36
90f048af2a22b9590f67f2a59997a146,3034,1619573436.534952,a6:6c:e5
289f311041018725729129362527f89e,3843,1619573436.586431,ef:7f:80
90f048af2a22b9590f67f2a59997a146,3035,1619573436.590238,a6:6c:e5
289f311041018725729129362527f89e,3844,1619573436.606563,ef:7f:80
90f048af2a22b9590f67f2a59997a146,3036,1619573436.711079,a6:6c:e5
90f048af2a22b9590f67f2a59997a146,3038,1619573436.88696,a6:6c:e5
90f048af2a22b9590f67f2a59997a146,3039,1619573436.942178,a6:6c:e5
c2d46f98f337288f623aaae9ff13a293,678,1619573437.009924,22:a6:4d
c2d46f98f337288f623aaae9ff13a293,681,1619573437.107297,22:a6:4d
c2d46f98f337288f623aaae9ff13a293,683,1619573437.200677,22:a6:4d
c171d4dcc8a5a4e56863468a70e5fa1f,2627,1619573437.69781,6e:b8:e0
42f4dd62cebf0d1fc23f93221a1fbd29,2400,1619573438.245364,9a:61:8c
ba52fe422060102f48125fc48230cb9f,280,1619573438.257681,2a:7f:cc
ba52fe422060102f48125fc48230cb9f,282,1619573438.297325,2a:7f:cc
ba52fe422060102f48125fc48230cb9f,285,1619573438.361456,2a:7f:cc
ba52fe422060102f48125fc48230cb9f,287,1619573438.419866,2a:7f:cc
ba52fe422060102f48125fc48230cb9f,289,1619573438.476378,2a:7f:cc
42f4dd62cebf0d1fc23f93221a1fbd29,2423,1619573438.598824,9a:61:8c
5aa3425730ee0fcb2b4d420f1561e91d,1679,1619573439.984467,12:68:49
5aa3425730ee0fcb2b4d420f1561e91d,1681,1619573440.019885,12:68:49
213f24c104bb519048ef77974d0ccc6e,3320,1619573440.972686,0a:53:ad
10e4053ddeab1424c86d4a85ac1e3047,1050,1619573441.058502,1e:ca:db
10e4053ddeab1424c86d4a85ac1e3047,1051,1619573441.06724,1e:ca:db
0f8b226fe9f2d210444fd8f9bf94bfc1,1752,1619573441.192268,4e:72:4e
0f8b226fe9f2d210444fd8f9bf94bfc1,1754,1619573441.212363,4e:72:4e
3bde616421abc07a657e0b4ccad9afd5,3085,1619573442.037054,de:53:51
23338d82323f09bcd52260787e4a0bf2,128,1619573442.0488,16:bb:58
23338d82323f09bcd52260787e4a0bf2,129,1619573442.069883,16:bb:58
23338d82323f09bcd52260787e4a0bf2,133,1619573442.247265,16:bb:58
fe97060e073aea2a94918e74e3d02b4d,1488,1619573443.03111,7a:e6:b6
04caddf6b43e125512c3598f2432469f,2456,1619573443.168152,16:22:02
bfa4bd18588bae304523791d45c9ccd1,1243,1619573443.236107,1e:c8:71
0a244c97097e6c8e30ed31e23233915f,2494,1619573443.339431,94:f6:d6
0a244c97097e6c8e30ed31e23233915f,2495,1619573443.352461,94:f6:d6
0a244c97097e6c8e30ed31e23233915f,2497,1619573443.426857,94:f6:d6
0a244c97097e6c8e30ed31e23233915f,2498,1619573443.442827,94:f6:d6
dcd57f6c13089c770314833b91181266,1651,1619573443.601305,94:f6:d6
ee8ddef9359a5d64402699191453d7fa,1606,1619573443.618222,72:87:86
dcd57f6c13089c770314833b91181266,1653,1619573443.624596,94:f6:d6
dcd57f6c13089c770314833b91181266,1655,1619573443.653581,94:f6:d6
dcd57f6c13089c770314833b91181266,1656,1619573443.664846,94:f6:d6
dcd57f6c13089c770314833b91181266,1657,1619573443.680588,94:f6:d6
6eb0ca86b3424a51bf4803ddbfb81afe,1004,1619573444.004127,d6:f7:cf
7650b011e452634557fa003ff094895d,1469,1619573444.070456,ea:ac:d3
7650b011e452634557fa003ff094895d,1495,1619573444.37083,ea:ac:d3
a4fbd3125cc4d6a5bc3172d8407f449c,524,1619573444.505155,76:3f:c9
a4fbd3125cc4d6a5bc3172d8407f449c,525,1619573444.515365,76:3f:c9
bfa4bd18588bae304523791d45c9ccd1,1271,1619573444.532536,1e:c8:71
a4fbd3125cc4d6a5bc3172d8407f449c,538,1619573444.666105,76:3f:c9
a4fbd3125cc4d6a5bc3172d8407f449c,539,1619573444.679392,76:3f:c9
bcc286da91b6a0a16c2c5ddbb60445d0,2696,1619573444.819993,66:1d:df
bcc286da91b6a0a16c2c5ddbb60445d0,2697,1619573444.883249,66:1d:df
bcc286da91b6a0a16c2c5ddbb60445d0,2698,1619573444.903411,66:1d:df
8c4a84adfca2ebfdea6372691f666f70,4038,1619573445.11171,ca:96:00
8c4a84adfca2ebfdea6372691f666f70,4041,1619573445.122555,ca:96:00
8018e819366bcd830d2adca58a0b4b3b,1545,1619573445.265662,ca:3a:45
872ccc074e5076c4b0e9bdb7934e2759,18,1619573445.552097,b2:fb:b0
872ccc074e5076c4b0e9bdb7934e2759,19,1619573445.576934,b2:fb:b0
872ccc074e5076c4b0e9bdb7934e2759,20,1619573445.597128,b2:fb:b0
bed400aa1d5e6149ccdb1fc797286e3b,4092,1619573445.600998,92:36:ec
c456b6d1ec896115de0565c65914f36a,1581,1619573445.753474,0e:a8:65
899dfc1212a777253840667929f72787,1677,1619573445.907559,36:61:2c
872ccc074e5076c4b0e9bdb7934e2759,35,1619573445.937893,b2:fb:b0
