id,sn,epoch,mac_first_half
e90f4ced8b4d502bcb4ab77da1a52134,3640,1619623127.752722,a6:a9:a3
e90f4ced8b4d502bcb4ab77da1a52134,3641,1619623127.762799,a6:a9:a3
170aef4c0dfc8ed5f937ed0f2d11ab10,1934,1619623127.852748,da:d8:3d
170aef4c0dfc8ed5f937ed0f2d11ab10,1935,1619623127.873134,da:d8:3d
5431272d161058d8ce4e051d20cb0b29,3502,1619623127.994707,26:9f:3a
e21c426a0ef4c5829076e312116a59d2,3570,1619623128.033459,ae:6b:bb
1550b45a450922e26284c48cb690f07f,3220,1619623128.662362,0e:3e:8f
c0beef8d5ce47e18b8d2ddf447be8991,3380,1619623128.662375,a2:29:4b
3295a6f996e1cc83a956fb16c88e07c7,525,1619623128.822328,6e:ad:8a
3295a6f996e1cc83a956fb16c88e07c7,526,1619623128.829622,6e:ad:8a
17c4ba757a3efc514845e486bf120196,2389,1619623129.056353,6c:71:d9
17c4ba757a3efc514845e486bf120196,2390,1619623129.10211,6c:71:d9
17c4ba757a3efc514845e486bf120196,2391,1619623129.150473,6c:71:d9
63f8c7db6ebc81a234e8c708b1a3f440,1945,1619623129.169979,10:94:bb
63f8c7db6ebc81a234e8c708b1a3f440,1950,1619623129.207558,10:94:bb
63f8c7db6ebc81a234e8c708b1a3f440,1952,1619623129.217759,10:94:bb
17c4ba757a3efc514845e486bf120196,2394,1619623129.293404,6c:71:d9
55c17d41c3cfc1fca31bdbe879884890,3723,1619623129.364509,fa:5d:28
d0079d20a577b15c1c0ba044373374b0,2070,1619623130.254222,e2:88:45
77a9370b8f5dd306931abba5b30f17a2,1439,1619623131.660875,12:63:aa
7818045580a1b357bd79447eab5b5acb,1546,1619623131.88457,be:3c:20
7818045580a1b357bd79447eab5b5acb,1547,1619623131.899766,be:3c:20
63f8c7db6ebc81a234e8c708b1a3f440,2072,1619623131.920152,10:94:bb
63f8c7db6ebc81a234e8c708b1a3f440,2073,1619623131.957945,10:94:bb
ac44b5b74684e98cf727e7e895a92496,3343,1619623132.523908,3c:22:fb
ac44b5b74684e98cf727e7e895a92496,3345,1619623132.602435,3c:22:fb
ac44b5b74684e98cf727e7e895a92496,3346,1619623132.610016,3c:22:fb
0aefe2f6836fa10279a0f2c11f490dac,3400,1619623133.570922,4a:0f:c2
0aefe2f6836fa10279a0f2c11f490dac,3404,1619623133.68597,4a:0f:c2
7aff672751564e82d6a6b87be96c0335,2340,1619623134.381596,66:a9:b8
7aff672751564e82d6a6b87be96c0335,2342,1619623134.4285,66:a9:b8
7aff672751564e82d6a6b87be96c0335,2343,1619623134.446644,66:a9:b8
f117dc09459bf3e14ecb38e8db9878ef,1882,1619623135.227209,7a:71:08
f117dc09459bf3e14ecb38e8db9878ef,1883,1619623135.242274,7a:71:08
