id,sn,epoch,mac_first_half
464193f1f08e95b0e318363acdfe70ee,4019,1619573434.435013,02:2a:60
a4d2c2923833216c9a8c4f330fea745f,2638,1619573435.986463,0a:cb:8c
a4d2c2923833216c9a8c4f330fea745f,2641,1619573436.019871,0a:cb:8c
a4d2c2923833216c9a8c4f330fea745f,2646,1619573436.0425,0a:cb:8c
f2a97ff7873f1e78cd781c0c625d222c,3402,1619573436.681538,7a:4b:30
222c5ab7f1775d535a0373e9ea7d226a,840,1619573442.164601,96:f8:ee
222c5ab7f1775d535a0373e9ea7d226a,841,1619573442.183706,96:f8:ee
780c7ecf9c0e2e58ca561a71e70af235,714,1619573442.577211,02:96:f3
57d8b5e64e625c035e7764abb1ae9611,2717,1619573444.136995,b6:38:16
57d8b5e64e625c035e7764abb1ae9611,2719,1619573444.150566,b6:38:16
e529483c28be0ad0b4bc4cee09c28e2e,1630,1619573447.367062,ba:5c:19
0c0fbc02b5a0ed477c3616df7fe13f32,1491,1619573448.998614,3a:f7:12
0c0fbc02b5a0ed477c3616df7fe13f32,1492,1619573449.019333,3a:f7:12
4b99d6690cf50ba876f5ccc9257e9c6a,1598,1619573449.16557,f2:67:ba
aaaa1f7160638bf3d82f142e0dbefd7f,391,1619573449.48589,3c:22:fb
aaaa1f7160638bf3d82f142e0dbefd7f,394,1619573449.524604,3c:22:fb
86457e0db70eac584ad9c64e886a8b40,2264,1619573451.419075,46:87:de
86457e0db70eac584ad9c64e886a8b40,2265,1619573451.420361,46:87:de
86457e0db70eac584ad9c64e886a8b40,2267,1619573451.459943,46:87:de
05f0e7d9d0f4bce045f4680cbcd36800,1141,1619573452.297424,7e:d4:da
145d3f34996fc6e959cb2c86374f9960,57,1619573452.471514,f6:08:e1
4e6029986c301c37d08c31becc227b40,745,1619573454.357552,16:e0:d8
8c7fa28219592221313d36d360f097d4,2190,1619573454.537105,3e:04:c2
1a42de7df62a27afc32fd73552cdb642,3730,1619573454.838232,9a:c2:b7
1a42de7df62a27afc32fd73552cdb642,3731,1619573454.852787,9a:c2:b7
bd1c1c756c4aa2bede3da4b96c87a570,1160,1619573458.615427,52:dd:f1
d80909796599c445e10644295a28367b,1105,1619573459.10552,56:70:82
d80909796599c445e10644295a28367b,1106,1619573459.116077,56:70:82
b8668f242bf54719c21699e02cb4d7b8,3672,1619573461.317744,ea:a1:56
b8668f242bf54719c21699e02cb4d7b8,3673,1619573461.33634,ea:a1:56
9510cb6737631de2472679e868420a5b,785,1619573461.576327,ce:a5:8a
a6d17b4266c5c17f54755a7756a70d18,722,1619573461.623756,aa:d7:29
d6d80eb14f46915f3155b576c1cc0553,297,1619573462.014935,72:19:b4
d6d80eb14f46915f3155b576c1cc0553,298,1619573462.037778,72:19:b4
80ce368ae569e8fe3dc3a1d6dccfd653,3569,1619573467.849609,b2:0f:72
80ce368ae569e8fe3dc3a1d6dccfd653,3570,1619573467.870823,b2:0f:72
