id,sn,epoch,mac_first_half
2ced14acd1d53a5f1ad6c8086eab3496,2672,1619573434.367762,46:cf:fc
1040eb526843ab464a4fc2bbdd5bb4df,2476,1619573434.397174,88:a4:79
96bd840d2958c5c8a59cc2db699f49e1,663,1619573434.4077,fe:ef:eb
96bd840d2958c5c8a59cc2db699f49e1,664,1619573434.435254,fe:ef:eb
a884c526efabe92fa1c9c93cc5a21048,461,1619573435.037783,3a:2c:49
a884c526efabe92fa1c9c93cc5a21048,462,1619573435.058263,3a:2c:49
e581d272daaa5ee7b7f4fc1145ddb676,2949,1619573435.288925,96:90:71
e581d272daaa5ee7b7f4fc1145ddb676,2950,1619573435.308835,96:90:71
71be205f62ceb718583b36d362bc6a90,2150,1619573435.368859,94:f6:d6
71be205f62ceb718583b36d362bc6a90,2152,1619573435.404671,94:f6:d6
71be205f62ceb718583b36d362bc6a90,2154,1619573435.426716,94:f6:d6
27277c4d5a98d48db2e0464373bf05c8,283,1619573435.442523,ee:c7:34
d838ac37b14cdf8b6b36ad412008d88c,2316,1619573435.462526,b6:35:5d
27277c4d5a98d48db2e0464373bf05c8,284,1619573435.462539,ee:c7:34
1040eb526843ab464a4fc2bbdd5bb4df,2480,1619573435.605406,88:a4:79
5deb26375cf1060a8e195d98abb06732,1144,1619573436.221859,12:57:e9
5deb26375cf1060a8e195d98abb06732,1147,1619573436.286868,12:57:e9
5deb26375cf1060a8e195d98abb06732,1148,1619573436.306916,12:57:e9
5deb26375cf1060a8e195d98abb06732,1149,1619573436.327907,12:57:e9
255f79ccffbe1fde041855657bb4a167,507,1619573436.424201,36:01:1e
255f79ccffbe1fde041855657bb4a167,508,1619573436.443654,36:01:1e
255f79ccffbe1fde041855657bb4a167,509,1619573436.54433,36:01:1e
b47a34beb311d73ee971ad19de026fce,506,1619573437.240951,28:5a:eb
e11c2e5c0d765e75233b83064c43867f,3218,1619573437.973559,32:b3:8d
0fc3f185d76414995f45e87beb6a0f23,3187,1619573438.374459,66:62:9c
8a5f31faf956d8f6a6eab0808d357af6,4078,1619573438.406971,1e:8a:7e
23621a657eec3edc7e1d1ec9c9d3ff20,3370,1619573438.727678,36:7c:d0
23621a657eec3edc7e1d1ec9c9d3ff20,3371,1619573438.740123,36:7c:d0
