id,sn,epoch,mac_first_half
f51a80e6f7dfffe5ed960a77532611ac,2514,1619573434.724249,b8:27:eb
d8720ad86e2faf47ee758d62ba92ae4a,3536,1619573434.98239,94:f6:d6
d8720ad86e2faf47ee758d62ba92ae4a,3537,1619573435.001949,94:f6:d6
fbfe2c7dc265c3949fe8a6236b713ef3,1490,1619573435.030359,c4:41:1e
be3981c6ddde66cc313a0c61d7eeb32c,659,1619573435.352919,5a:67:da
d8720ad86e2faf47ee758d62ba92ae4a,3547,1619573435.660872,94:f6:d6
d8720ad86e2faf47ee758d62ba92ae4a,3548,1619573435.673052,94:f6:d6
d8720ad86e2faf47ee758d62ba92ae4a,3550,1619573435.696518,94:f6:d6
0b7dd83e5df604ee068f649c7122f824,168,1619573438.868979,58:94:6b
d8720ad86e2faf47ee758d62ba92ae4a,3631,1619573439.887718,94:f6:d6
d8720ad86e2faf47ee758d62ba92ae4a,3632,1619573439.899163,94:f6:d6
d8720ad86e2faf47ee758d62ba92ae4a,3633,1619573439.912955,94:f6:d6
9eb40298b197037fa1fe2fd8350acd17,261,1619573442.301517,fa:91:63
2af39979fd6181d0181a2f59e40ef103,2480,1619573443.376024,fa:5e:fa
27afbd8d5bf97b73283316c3e91720d1,3092,1619573444.415026,1a:8e:7a
27afbd8d5bf97b73283316c3e91720d1,3093,1619573444.436933,1a:8e:7a
ecfca33bb890a1d88ce567457887be97,2638,1619573449.856272,6e:41:a9
d8720ad86e2faf47ee758d62ba92ae4a,3721,1619573452.253816,94:f6:d6
d8720ad86e2faf47ee758d62ba92ae4a,3722,1619573452.264644,94:f6:d6
d8720ad86e2faf47ee758d62ba92ae4a,3724,1619573452.291935,94:f6:d6
d8720ad86e2faf47ee758d62ba92ae4a,3726,1619573452.318919,94:f6:d6
215615102d3524418f86e7f4eae01372,3753,1619573453.314512,72:ae:b0
215615102d3524418f86e7f4eae01372,3754,1619573453.334786,72:ae:b0
906f020447ef649aefefdf10184d0b2c,2507,1619573453.482638,da:4a:6e
fbfe2c7dc265c3949fe8a6236b713ef3,1752,1619573455.030638,c4:41:1e
d8720ad86e2faf47ee758d62ba92ae4a,3801,1619573455.123836,94:f6:d6
d8720ad86e2faf47ee758d62ba92ae4a,3803,1619573455.13557,94:f6:d6
d8720ad86e2faf47ee758d62ba92ae4a,3804,1619573455.135583,94:f6:d6
d8720ad86e2faf47ee758d62ba92ae4a,3805,1619573455.150641,94:f6:d6
